127.0.0.1 - - [29/Jul/2023:00:48:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:48:19 +0900] "GET /tr_spring/index.jsp HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:48:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:21 +0900] "GET /tr_spring/appInsertDoc.tr HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:22 +0900] "GET /tr_spring/loginForm.tr HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "POST /tr_spring/loginCheck.tr HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "GET /tr_spring/mainPage.tr HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "GET /tr_spring/resources/images/Terra_Group.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "GET /tr_spring/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "GET /tr_spring/resources/images/board.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "GET /tr_spring/HTML_CSS/image/krn.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:26 +0900] "GET /tr_spring/%EC%9D%B4%EB%AF%B8%EC%A7%80_%ED%8C%8C%EC%9D%BC_%EA%B2%BD%EB%A1%9C HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:27 +0900] "GET /tr_spring/noticePopup.tr HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:27 +0900] "GET /tr_spring/resources/images/noticebg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:29 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:29 +0900] "GET /tr_spring/resources/images/notification-bell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:29 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:29 +0900] "GET /tr_spring/resources/images/alert.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:32 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:32 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:49:32 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:51:30 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:51:30 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:51:30 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:18 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:18 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:18 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:24 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:24 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:24 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:25 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:26 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:26 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:26 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:33 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:33 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:33 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:34 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:36 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:36 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:36 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:44 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:45 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:45 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:45 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:45 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:45 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:46 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:46 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:46 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:46 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:46 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:46 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:47 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:47 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:52:47 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:53:52 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12808
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:53:52 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:53:52 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:57:35 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12808
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:57:35 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:00:57:35 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:15 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:15 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:16 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:16 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12800
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12800
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:38 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12800
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:39 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:39 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:39 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12800
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:39 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:39 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:40 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12800
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:40 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:40 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:41 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12800
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:41 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:41 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:43 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:43 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:44 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 10845
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:46:44 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:47:10 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12860
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:47:10 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:47:10 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:47:11 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 12860
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:47:11 +0900] "GET /fileupload/tmem/KakaoTalk_20230712_182044872_4_.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [29/Jul/2023:01:47:11 +0900] "GET /tr_spring/styles.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:15:59 +0900] "GET /tr_spring/appSelect/A.tr HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:00 +0900] "GET /tr_spring/loginForm.tr HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "POST /tr_spring/loginCheck.tr HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/mainPage.tr HTTP/1.1" 200 7367
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/HTML_CSS/image/krn.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/%EC%9D%B4%EB%AF%B8%EC%A7%80_%ED%8C%8C%EC%9D%BC_%EA%B2%BD%EB%A1%9C HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [29/Jul/2023:13:16:05 +0900] "GET /tr_spring/noticePopup.tr HTTP/1.1" 200 1756
